step,mean_unigram_loss,mean_bigram_loss,bottom_conf_unigram_loss,top_conf_unigram_loss,bottom_conf_bigram_loss,top_conf_bigram_loss
36000,11.478515625,6.642578125,11.452576758702644,11.504454491297356,6.622845881723583,6.662310368276417
37000,11.5078125,6.6650390625,11.481840552620081,11.533784447379919,6.6452734864837755,6.6848046385162245
38000,11.51171875,6.658203125,11.485742394992153,11.537695105007847,6.638447687776962,6.677958562223038
39000,11.447265625,6.6328125,11.421362091756741,11.473169158243259,6.613094766794871,6.652530233205129
40000,11.49609375,6.650390625,11.470135029994191,11.522052470005809,6.630646781344406,6.670134468655594
41000,11.49609375,6.66796875,11.470135029994191,11.522052470005809,6.6481988303784005,6.6877386696215995
42000,11.41796875,6.6533203125,11.392098385322024,11.443839114677976,6.633572120459008,6.673068504540992
43000,11.41796875,6.609375,11.392098385322024,11.443839114677976,6.589692134608546,6.629057865391454
44000,11.365234375,6.6435546875,11.339423821152248,11.391044928847752,6.623820993803259,6.663288381196741
45000,11.408203125,6.634765625,11.382343825964636,11.434062424035364,6.615044988926514,6.654486261073486
46000,11.435546875,6.6630859375,11.4096566040837,11.4614371459163,6.6433232577510655,6.6828486172489345
47000,11.5,6.640625,11.47403687012072,11.52596312987928,6.620895657884119,6.660354342115881
48000,11.509765625,6.642578125,11.483791473712625,11.535739776287375,6.622845881723583,6.662310368276417
49000,11.451171875,6.6435546875,11.425263922489757,11.477079827510243,6.623820993803259,6.663288381196741
50000,11.435546875,6.61328125,11.4096566040837,11.4614371459163,6.593592569018113,6.632969930981887
51000,11.50390625,6.630859375,11.477938710996144,11.529873789003856,6.611144545090654,6.650574204909346
52000,11.525390625,6.6650390625,11.49939884918046,11.55138240081954,6.6452734864837755,6.6848046385162245
53000,11.3828125,6.6474609375,11.356981993820764,11.408643006179236,6.627721443187702,6.667200431812298
54000,11.46484375,6.6328125,11.438920335988097,11.490767164011903,6.613094766794871,6.652530233205129
